epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
128,530.203,2.06618,1.65827,1.19254,0.86627,0.53425,0.61083,0.34501,1.88897,1.57797,1.17461,0.00168567,0.00168567,0.00168567
129,535.176,2.04898,1.70313,1.20101,0.91325,0.54795,0.63001,0.35076,1.82383,1.57222,1.16322,0.0016832,0.0016832,0.0016832
130,540.178,2.02273,1.66993,1.16688,0.82634,0.57534,0.63097,0.3409,1.78308,1.74201,1.15217,0.00168073,0.00168073,0.00168073
131,543.689,2.16128,1.71838,1.22891,0.76298,0.58904,0.62218,0.31806,1.81337,1.82525,1.15498,0.00167825,0.00167825,0.00167825
132,547.72,2.06766,1.77244,1.22101,0.76298,0.58904,0.62218,0.31806,1.81337,1.82525,1.15498,0.00167577,0.00167577,0.00167577
133,551.242,1.88669,1.57368,1.17187,0.87723,0.56164,0.63583,0.31577,1.89624,1.57014,1.17669,0.0016733,0.0016733,0.0016733
134,554.871,1.94521,1.587,1.18464,0.88262,0.51508,0.62651,0.32191,1.98744,1.50589,1.20462,0.00167083,0.00167083,0.00167083
135,558.599,2.0843,1.79038,1.26088,0.79444,0.52948,0.6196,0.3062,2.03791,1.50568,1.22334,0.00166835,0.00166835,0.00166835
136,562.076,1.85665,1.58624,1.23485,0.82338,0.54795,0.63416,0.30452,2.02327,1.51802,1.2181,0.00166588,0.00166588,0.00166588
137,565.619,1.86592,1.58692,1.15024,0.82338,0.54795,0.63416,0.30452,2.02327,1.51802,1.2181,0.0016634,0.0016634,0.0016634
138,569.195,1.91907,1.44164,1.17995,0.90573,0.52055,0.64224,0.29,2.04245,1.52635,1.22282,0.00166092,0.00166092,0.00166092
139,572.711,1.94876,1.62185,1.21207,0.8737,0.54795,0.64402,0.31788,1.90477,1.42886,1.18036,0.00165845,0.00165845,0.00165845
140,576.25,1.90092,1.60381,1.16545,0.88949,0.55138,0.64811,0.34864,1.75467,1.34376,1.12526,0.00165598,0.00165598,0.00165598
141,580.092,1.82325,1.47243,1.14612,0.84852,0.61391,0.65631,0.36778,1.73628,1.4087,1.10896,0.0016535,0.0016535,0.0016535
142,585.124,1.99339,1.59292,1.19642,0.87276,0.60274,0.6574,0.34959,1.76307,1.41206,1.11817,0.00165102,0.00165102,0.00165102
143,588.909,1.78185,1.39203,1.13806,0.87276,0.60274,0.6574,0.34959,1.76307,1.41206,1.11817,0.00164855,0.00164855,0.00164855
144,592.427,1.93239,1.57814,1.22196,0.86242,0.60274,0.66735,0.34763,1.7976,1.37534,1.14086,0.00164608,0.00164608,0.00164608
145,595.821,1.80679,1.47442,1.14965,0.91235,0.58904,0.67276,0.30331,1.96182,1.47881,1.19527,0.0016436,0.0016436,0.0016436
146,599.52,1.73675,1.65025,1.11072,0.92266,0.54795,0.6578,0.29436,2.04172,1.50131,1.22636,0.00164113,0.00164113,0.00164113
147,603.12,1.67317,1.33436,1.15894,0.88421,0.52309,0.65198,0.31651,1.96743,1.39289,1.20347,0.00163865,0.00163865,0.00163865
148,606.717,2.03725,1.61805,1.22033,0.88421,0.52309,0.65198,0.31651,1.96743,1.39289,1.20347,0.00163618,0.00163618,0.00163618
149,610.47,1.92761,1.4466,1.19157,0.76316,0.57534,0.64958,0.36551,1.79823,1.40681,1.16055,0.0016337,0.0016337,0.0016337
150,614.008,1.90927,1.53194,1.12851,0.77021,0.59697,0.65746,0.37345,1.75024,1.3749,1.13592,0.00163123,0.00163123,0.00163123
151,619.129,1.98844,1.88318,1.36734,0.83351,0.63014,0.67633,0.36666,1.78811,1.42227,1.13411,0.00162875,0.00162875,0.00162875
152,624.134,1.87667,1.53729,1.14264,0.89088,0.53425,0.64854,0.33208,1.83735,1.56753,1.15397,0.00162628,0.00162628,0.00162628
153,627.69,1.85968,1.5192,1.10122,0.89088,0.53425,0.64854,0.33208,1.83735,1.56753,1.15397,0.0016238,0.0016238,0.0016238
154,631.327,1.96325,1.62867,1.23074,0.88613,0.60274,0.66753,0.35198,1.8166,1.52155,1.15358,0.00162132,0.00162132,0.00162132
155,634.939,1.66174,1.46525,1.16211,0.88313,0.58904,0.67086,0.35543,1.77414,1.59908,1.15139,0.00161885,0.00161885,0.00161885
156,638.494,1.80221,1.38924,1.09881,0.86297,0.53425,0.6534,0.33752,1.77324,2.18203,1.15179,0.00161638,0.00161638,0.00161638
157,642.12,1.75104,1.41568,1.17588,0.82564,0.56164,0.66846,0.32303,1.81715,1.72817,1.15418,0.0016139,0.0016139,0.0016139
158,645.694,1.85876,1.3439,1.148,0.8954,0.58633,0.6531,0.29727,1.90815,1.39486,1.17009,0.00161142,0.00161142,0.00161142
159,649.254,1.68735,1.28493,1.08605,0.8954,0.58633,0.6531,0.29727,1.90815,1.39486,1.17009,0.00160895,0.00160895,0.00160895
160,652.856,1.79144,1.43043,1.13757,0.94506,0.60274,0.67381,0.30916,1.97145,1.43825,1.18969,0.00160648,0.00160648,0.00160648
161,656.311,1.79136,1.36742,1.08581,0.95684,0.60749,0.69577,0.34093,1.86732,1.26926,1.14695,0.001604,0.001604,0.001604
162,659.896,1.89078,1.32954,1.15894,0.93767,0.61828,0.69507,0.37965,1.71695,1.2331,1.10382,0.00160152,0.00160152,0.00160152
163,664.939,1.83223,1.40022,1.13208,0.92272,0.65426,0.71029,0.3965,1.66397,1.24992,1.08489,0.00159905,0.00159905,0.00159905
164,670.101,1.58132,1.12215,1.0911,0.92272,0.65426,0.71029,0.3965,1.66397,1.24992,1.08489,0.00159658,0.00159658,0.00159658
165,675.104,1.75093,1.28091,1.1104,0.89634,0.59231,0.70435,0.34504,1.90016,1.46389,1.14382,0.0015941,0.0015941,0.0015941
166,678.801,1.7836,1.33395,1.14444,0.93742,0.61557,0.70648,0.33058,1.99584,1.45636,1.175,0.00159162,0.00159162,0.00159162
167,682.257,1.86468,1.4262,1.23536,0.91947,0.62566,0.72343,0.35748,1.92043,1.30255,1.15865,0.00158915,0.00158915,0.00158915
168,685.67,1.78272,1.29461,1.08216,0.88357,0.67123,0.73095,0.40614,1.7195,1.18734,1.10533,0.00158668,0.00158668,0.00158668
169,690.707,1.67005,1.30327,1.11558,0.88357,0.67123,0.73095,0.40614,1.7195,1.18734,1.10533,0.0015842,0.0015842,0.0015842
170,695.759,1.62323,1.11534,1.04897,0.90723,0.67123,0.72831,0.40461,1.62157,1.14618,1.06544,0.00158173,0.00158173,0.00158173
